ABCF1	Q8NE71
RO60	P10155
RPS11	P62280
RPS19	P39019
RPS24	P62847
RPS3	P23396
RPS3A	P61247
RPS6	P62753
RPS6KA3	P51812
RPS6KB1	P23443
RPS6KB2	Q9UBS0
RPTOR	Q8N122
RTCB	Q9Y3I0
RTRAF	Q9Y224
SAFB2	Q14151
SAMD4A	Q9UPU9
SCAPER	Q9BY12
SECISBP2	Q96T21
SERBP1	Q8NC51
SF1	Q15637
SLBP	Q14493
SMAP2	Q8WU79
SMG5	Q9UPR3
SMG6	Q86US8
SMG7	Q92540
SMN1	Q16637
SND1	Q7KZF4
SPAG5	Q96R06
SRP14	P37108
SRP68	Q9UHB9
SRP9	P49458
SRSF1	Q07955
SRSF3	P84103
SRSF5	Q13243
SRSF7	Q16629
SRSF9	Q13242
ST7	Q9NRC1
STAU1	O95793
STAU2	Q9NUL3
STIP1	P31948
STRAP	Q9Y3F4
SUGT1	Q9Y2Z0
SYNCRIP	O60506
TAF15	Q92804
TARDBP	Q13148
TDRD3	Q9H7E2
TDRD7	Q8NHU6
THOC2	Q8NI27
TIA1	P31483
TIAL1	Q01085
TMEM131	Q92545
TNKS	O95271
TNKS1BP1	Q9C0C2
TNPO1	Q92973
TNPO2	O14787
TNRC6A	Q8NDV7
TNRC6B	Q9UPQ9
TNRC6C	Q9HCJ0
TOP3B	O95985
TRA2B	P62995
TRAF2	Q12933
TRAF3IP2	O43734
TRDMT1	O14717
TRIM25	Q14258
TRIM56	Q9BRZ2
TRIP6	Q15654
TTC17	Q96AE7
TUT4	Q5TAX3
UBAP2	Q5T6F2
UBAP2L	Q14157
UBQLN2	Q9UHD9
UPF1	Q92900
UPF2	Q9HAU5
UPF3B	Q9BZI7
USP10	Q14694
UTP18	Q9Y5J1
WDR62	O43379
XPO1	O14980
XRN1	Q8IZH2
XRN2	Q9H0D6
YARS	P54577
YBX1	P67809
YBX3	P16989
YTHDF1	Q9BYJ9
YTHDF2	Q9Y5A9
YTHDF3	Q7Z739
YWHAG	P61981
ZBP1	Q9H171
ZC3H11A	O75152
ZC3H7B	Q9UGR2
ZC3HAV1	Q7Z2W4
ZCCHC14	Q8WYQ9
ZCCHC2	Q9C0B9
ZCCHC3	Q9NUD5
ZFP36	P26651
ZFP36L1	Q07352
ZNF598	Q86UK7
