GIGYF2	Q6Y7W6
GLE1	Q53GS7
GLO1	Q04760
GLRX3	O76003
GNB2	P62879
GOLGA2	Q08379
GPATCH8	Q9UKJ3
GPBP1	Q86WP2
GPBP1L1	Q9HC44
GRB2	P62993
GRSF1	Q12849
GSDMA	Q96QA5
GSPT1	P15170
GTPBP1	O00178
GTPBP4	Q9BZE4
H1F0	P07305
H1FX	Q92522
H2AFV	Q71UI9
H2AFY	O75367
HABP4	Q5JVS0
HAX1	O00165
HDAC6	Q9UBN7
HDLBP	Q00341
HECA	Q9UBI9
HELZ	P42694
HELZ2	Q9BYK8
HMGA1	P17096
HMGB3	O15347
HMGN1	P05114
HNRNPA1	P09651
HNRNPA2B1	P22626
HNRNPA3	P51991
HNRNPAB	Q99729
HNRNPC	P07910
HNRNPCL1	O60812
HNRNPD	Q14103
HNRNPDL	O14979
HNRNPF	P52597
HNRNPH1	P31943
HNRNPH2	P55795
HNRNPH3	P31942
HNRNPK	P61978
HNRNPL	P14866
HNRNPM	P52272
HNRNPR	O43390
HNRNPU	Q00839
HNRNPUL1	Q9BUJ2
HSP90AA1	P07900
HSPA2	P54652
HSPA4	P34932
HSPA9	P38646
HSPB1	P04792
HSPD1	P10809
HTT	P42858
IBTK	Q9P2D0
IFIH1	Q9BYX4
IGF2BP1	Q9NZI8
IGF2BP2	Q9Y6M1
IGF2BP3	O00425
IGHA1	P01876
IGLC2	P0DOY2
IK	Q13123
ILF2	Q12905
ILF3	Q12906
IPO7	O95373
IPO8	O15397
IPPK	Q9H8X2
ITGB1	P05556
JMJD1C	Q15652
KANK2	Q63ZY3
KARS	Q15046
KEAP1	Q14145
KHDRBS1	Q07666
KHDRBS3	O75525
KHSRP	Q92945
KIAA0232	Q92628
KIAA0355	O15063
KIAA0753	Q2KHM9
KIAA1671	Q9BY89
KIF13B	Q9NQT8
KIF1B	O60333
KIF1C	O43896
KIF23	Q02241
KIF7	Q2M1P5
KPNA1	P52294
KPNA2	P52292
KPNA3	O00505
KPNA6	O60684
KPNB1	Q14974
L1RE1	Q9UN81
LANCL1	O43813
LARP1	Q6PKG0
LARP1B	Q659C4
LARP4	Q71RC2
LARP4B	Q92615
LASP1	Q14847
LBR	Q14739
LEMD3	Q9Y2U8
LGALS7	P47929
LIG3	P49916
LIN28A	Q9H9Z2
LIN28B	Q6ZN17
LMNA	P02545
LMNB1	P20700
LMNB2	Q03252
LPP	Q93052
LSM1	O15116
LSM12	Q3MHD2
LSM14A	Q8ND56
LSM14B	Q9BX40
LSM2	Q9Y333
LSM3	P62310
LSM4	Q9Y4Z0
LSM5	Q9Y4Y9
LSM6	P62312
LSM7	Q9UK45
LUC7L	Q9NQ29
LUZP1	Q86V48
LYZ	P61626
LZTS2	Q9BRK4
MACF1	Q9UPN3
MACO1	Q8N5G2
MAGEA4	P43358
MAGED1	Q9Y5V3
MAGED2	Q9UNF1
MAGOHB	Q96A72
MAP4	P27816
MAP4K4	O95819
MAPK1IP1L	Q8NDC0
MAPRE1	Q15691
MAPRE2	Q15555
MARF1	Q9Y4F3
MARS	P56192
MATR3	P43243
MBNL1	Q9NR56
MBNL2	Q5VZF2
MCM4	P33991
MCM5	P33992
MCM7	P33993
MCRIP1	C9JLW8
MCRIP2	Q9BUT9
METAP1	P53582
METAP2	P50579
MEX3A	A1L020
MEX3B	Q6ZN04
MEX3C	Q5U5Q3
MEX3D	Q86XN8
MFAP1	P55081
MIA3	Q5JRA6
MKI67	P46013
MKRN2	Q9H000
MOV10	Q9HCE1
MPHOSPH9	Q99550
MRPL4	Q9BYD3
MRPL45	Q9BRJ2
MRPS14	O60783
MRPS16	Q9Y3D3
MRPS17	Q9Y2R5
MRPS18B	Q9Y676
MRPS2	Q9Y399
MRPS22	P82650
MRPS23	Q9Y3D9
MRPS24	Q96EL2
MRPS25	P82663
MRPS26	Q9BYN8
MRPS27	Q92552
MRPS28	Q9Y2Q9
MRPS31	Q92665
MRPS34	P82930
MRPS35	P82673
MRPS5	P82675
MRPS6	P82932
MRPS7	Q9Y2R9
MRPS9	P82933
MSH6	P52701
MSI1	O43347
MSI2	Q96DH6
MTHFD1	P11586
MTOR	P42345
MYH10	P35580
MYO1C	O00159
MYO1D	O94832
MYO5A	Q9Y4I1
MYO6	Q9UM54
N4BP2	Q86UW6
NBDY	A0A0U1RRE5
NCBP1	Q09161
NCOA3	Q9Y6Q9
NDEL1	Q9GZM8
NELFE	P18615
NEXN	Q0ZGT2
NFX1	Q12986
NIFK	Q9BYG3
NKRF	O15226
NME7	Q9Y5B8
NOL12	Q9UGY1
NOL6	Q9H6R4
NOLC1	Q14978
NONO	Q15233
NOP56	O00567
NOP58	Q9Y2X3
NOSIP	Q9Y314
NOVA2	Q9UNW9
NPM1	P06748
NRG2	O14511
NSUN2	Q08J23
NTMT1	Q9BV86
NUDC	Q9Y266
NUDT19	A8MXV4
NUFIP2	Q7Z417
NUMA1	Q14980
NUP153	P49790
NUP205	Q92621
NUP98	P52948
NUPL2	O15504
NYNRIN	Q9P2P1
OAS2	P29728
OASL	Q15646
OFD1	O75665
OGG1	O15527
OSBPL9	Q96SU4
OTUD4	Q01804
P4HB	P07237
PABPC1	P11940
PABPC4	Q13310
PAK4	O96013
PALLD	Q8WX93
PAN2	Q504Q3
PAN3	Q58A45
PARG	Q86W56
PARK7	Q99497
PARN	O95453
PARP12	Q9H0J9
PARP14	Q460N5
PARP15	Q460N3
PATL1	Q86TB9
PAWR	Q96IZ0
PAX1	P15863
PCBP1	Q15365
PCBP2	Q15366
PCF11	O94913
PCNA	P12004
PDAP1	Q13442
PDCD6	O75340
PDCD6IP	Q8WUM4
PDIA3	P30101
PDLIM1	O00151
PDLIM4	P50479
PDLIM5	Q96HC4
PDS5B	Q9NTI5
PEF1	Q9UBV8
PEG10	Q86TG7
PELO	Q9BRX2
PEPD	P12955
PES1	O00541
PEX11B	O96011
PFDN1	O60925
PFDN4	Q9NQP4
PFN1	P07737
PFN2	P35080
PGAM5	Q96HS1
PGP	A6NDG6
PHLDB2	Q86SQ0
PIBF1	Q8WXW3
PIK3C2A	O00443
PIP	P12273
PIWIL4	Q7Z3Z4
PJA2	O43164
PKP1	Q13835
PKP2	Q99959
PKP3	Q9Y446
PLEKHG1	Q9ULL1
PNPT1	Q8TCS8
PNRC1	Q12796
POC1B	Q8TC44
POLR2B	P30876
POM121	Q96HA1
PPME1	Q9Y570
PPP1R10	Q96QC0
PPP1R13B	Q96KQ4
PPP1R18	Q6NYC8
PPP1R8	Q12972
PPP2R1A	P30153
PPP2R1B	P30154
PQBP1	O60828
PRDX1	Q06830
PRDX6	P30041
PRKRA	O75569
PRMT1	Q99873
PRMT5	O14744
PRPF4B	Q13523
PRRC2A	P48634
PRRC2B	Q5JSZ5
PRRC2C	Q9Y520
PSMD2	Q13200
PSPC1	Q8WXF1
PTBP1	P26599
PTBP3	O95758
PTCD3	Q96EY7
PTGES3	Q15185
PUF60	Q9UHX1
PUM1	Q14671
PUM2	Q8TB72
PURA	Q00577
PURB	Q96QR8
PWP1	Q13610
PXDNL	A1KZ92
PYCR1	P32322
QKI	Q96PU8
